n1|n2|prop
pizza.Food|pizza.Pizza|is-a
pizza.Food|pizza.PizzaBase|is-a
pizza.DomainConcept|pizza.Food|is-a
pizza.ValuePartition|pizza.Spiciness|is-a
pizza.Food|pizza.PizzaTopping|is-a
pizza.Pizza|pizza.NamedPizza|is-a
pizza.VegetableTopping|pizza.TomatoTopping|is-a
pizza.PizzaTopping|pizza.FishTopping|is-a
pizza.PizzaTopping|pizza.VegetableTopping|is-a
pizza.VegetableTopping|pizza.OnionTopping|is-a
pizza.PizzaTopping|pizza.HerbSpiceTopping|is-a
pizza.MeatTopping|pizza.HamTopping|is-a
pizza.PizzaTopping|pizza.CheeseTopping|is-a
pizza.PizzaTopping|pizza.MeatTopping|is-a
owl.Thing|pizza.DomainConcept|is-a
owl.Thing|pizza.ValuePartition|is-a
pizza.PizzaTopping|pizza.FruitTopping|is-a
pizza.PepperTopping|pizza.GreenPepperTopping|is-a
pizza.VegetableTopping|pizza.PepperTopping|is-a
pizza.PizzaTopping|pizza.NutTopping|is-a
pizza.PizzaTopping|pizza.SauceTopping|is-a
pizza.Pizza|pizza.UnclosedPizza|is-a
pizza.PizzaBase|pizza.DeepPanBase|is-a
pizza.PizzaBase|pizza.ThinAndCrispyBase|is-a
pizza.Food|pizza.IceCream|is-a
pizza.Spiciness|pizza.Mild|is-a
pizza.Spiciness|pizza.Hot|is-a
pizza.Spiciness|pizza.Medium|is-a
pizza.NamedPizza|pizza.American|is-a
pizza.NamedPizza|pizza.AmericanHot|is-a
pizza.NamedPizza|pizza.Cajun|is-a
pizza.NamedPizza|pizza.Capricciosa|is-a
pizza.NamedPizza|pizza.Caprina|is-a
pizza.NamedPizza|pizza.Fiorentina|is-a
pizza.NamedPizza|pizza.FourSeasons|is-a
pizza.NamedPizza|pizza.FruttiDiMare|is-a
pizza.NamedPizza|pizza.Giardiniera|is-a
pizza.NamedPizza|pizza.LaReine|is-a
pizza.NamedPizza|pizza.Margherita|is-a
pizza.NamedPizza|pizza.Mushroom|is-a
pizza.NamedPizza|pizza.Napoletana|is-a
pizza.NamedPizza|pizza.Parmense|is-a
pizza.NamedPizza|pizza.PolloAdAstra|is-a
pizza.NamedPizza|pizza.PrinceCarlo|is-a
pizza.NamedPizza|pizza.QuattroFormaggi|is-a
pizza.NamedPizza|pizza.Rosa|is-a
pizza.NamedPizza|pizza.Siciliana|is-a
pizza.NamedPizza|pizza.SloppyGiuseppe|is-a
pizza.NamedPizza|pizza.Soho|is-a
pizza.NamedPizza|pizza.Veneziana|is-a
pizza.TomatoTopping|pizza.SundriedTomatoTopping|is-a
pizza.TomatoTopping|pizza.SlicedTomatoTopping|is-a
pizza.FishTopping|pizza.AnchoviesTopping|is-a
pizza.FishTopping|pizza.PrawnsTopping|is-a
pizza.FishTopping|pizza.MixedSeafoodTopping|is-a
pizza.VegetableTopping|pizza.ArtichokeTopping|is-a
pizza.VegetableTopping|pizza.AsparagusTopping|is-a
pizza.VegetableTopping|pizza.CaperTopping|is-a
pizza.VegetableTopping|pizza.OliveTopping|is-a
pizza.VegetableTopping|pizza.CheeseyVegetableTopping|is-a
pizza.VegetableTopping|pizza.GarlicTopping|is-a
pizza.VegetableTopping|pizza.SpinachTopping|is-a
pizza.VegetableTopping|pizza.MushroomTopping|is-a
pizza.VegetableTopping|pizza.LeekTopping|is-a
pizza.VegetableTopping|pizza.PetitPoisTopping|is-a
pizza.VegetableTopping|pizza.RocketTopping|is-a
pizza.OnionTopping|pizza.RedOnionTopping|is-a
pizza.HerbSpiceTopping|pizza.CajunSpiceTopping|is-a
pizza.HerbSpiceTopping|pizza.RosemaryTopping|is-a
pizza.HamTopping|pizza.ParmaHamTopping|is-a
pizza.CheeseTopping|pizza.MozzarellaTopping|is-a
pizza.CheeseTopping|pizza.GoatsCheeseTopping|is-a
pizza.CheeseTopping|pizza.CheeseyVegetableTopping|is-a
pizza.CheeseTopping|pizza.ParmesanTopping|is-a
pizza.CheeseTopping|pizza.FourCheesesTopping|is-a
pizza.CheeseTopping|pizza.GorgonzolaTopping|is-a
pizza.MeatTopping|pizza.PeperoniSausageTopping|is-a
pizza.MeatTopping|pizza.ChickenTopping|is-a
pizza.MeatTopping|pizza.HotSpicedBeefTopping|is-a
pizza.FruitTopping|pizza.SultanaTopping|is-a
pizza.GreenPepperTopping|pizza.HotGreenPepperTopping|is-a
pizza.PepperTopping|pizza.JalapenoPepperTopping|is-a
pizza.PepperTopping|pizza.PeperonataTopping|is-a
pizza.PepperTopping|pizza.SweetPepperTopping|is-a
pizza.NutTopping|pizza.PineKernels|is-a
pizza.SauceTopping|pizza.TobascoPepperSauce|is-a
