base,avaliacao,c1,c2,res_in
MayoSRS_snomed_ct,MayoSRS,id.228158008,id.67141003,6.69
MayoSRS_snomed_ct,MayoSRS,id.50782009,id.786838002,2.38
MayoSRS_snomed_ct,MayoSRS,id.180313001,id.91608003,1
MayoSRS_snomed_ct,MayoSRS,id.73211009,id.441456002,1
MayoSRS_snomed_ct,MayoSRS,id.34742003,id.400096001,1
MayoSRS_snomed_ct,MayoSRS,id.42343007,id.34742003,1.69
MayoSRS_snomed_ct,MayoSRS,id.271809000,id.19242006,3.92
MayoSRS_snomed_ct,MayoSRS,id.95570007,id.20018005,4.69
MayoSRS_snomed_ct,MayoSRS,id.161891005,id.76107001,5.31
MayoSRS_snomed_ct,MayoSRS,id.88998003,id.371598009,4
MayoSRS_snomed_ct,MayoSRS,id.69896004,id.50782009,7.08
MayoSRS_snomed_ct,MayoSRS,id.127785005,id.234532001,2.15
MayoSRS_snomed_ct,MayoSRS,id.129565002,id.396230008,4.46
MayoSRS_snomed_ct,MayoSRS,id.13791008,id.386033004,4.08
MayoSRS_snomed_ct,MayoSRS,id.267036007,id.271823003,4.08
MayoSRS_snomed_ct,MayoSRS,id.59282003,id.6686005,2.77
MayoSRS_snomed_ct,MayoSRS,id.396275006,id.37748009,2.85
MayoSRS_snomed_ct,MayoSRS,id.81694006,id.30989003,3.77
MayoSRS_snomed_ct,MayoSRS,id.12554006,id.19346006,2.08
MayoSRS_snomed_ct,MayoSRS,id.134190002,id.24693007,3.54
MayoSRS_snomed_ct,MayoSRS,id.40144003,id.69896004,5.69
MayoSRS_snomed_ct,MayoSRS,id.230690007,id.20022000,5
MayoSRS_snomed_ct,MayoSRS,id.15926001,id.244447006,4.23
MayoSRS_snomed_ct,MayoSRS,id.54731003,id.28423000,4.38
MayoSRS_snomed_ct,MayoSRS,id.40739000,id.421807004,3.77
MayoSRS_snomed_ct,MayoSRS,id.41011002,id.22298006,5.23
MayoSRS_snomed_ct,MayoSRS,id.2483006,id.373576009,4.08
MayoSRS_snomed_ct,MayoSRS,id.128462008,id.307593001,8.23
MayoSRS_snomed_ct,MayoSRS,id.400130008,id.25064002,4.69
MayoSRS_snomed_ct,MayoSRS,id.45530001,id.263680009,5.23
MayoSRS_snomed_ct,MayoSRS,id.266261006,id.52674009,4.85
