base,avaliacao,c1,c2,res_in
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.42399005,id.42399005,4
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.386639001,id.17369002,3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.80891009,id.74281007,3.3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.230690007,id.55641003,3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.2073000,id.58214004,3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.42343007,id.19242006,2.7
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.128462008,id.443961001,2.7
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.51615001,id.363358000,3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.42343007,id.19242006,1.7
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.62315008,id.51197009,2.3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.254935002,id.1386000,2.3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.79619009,id.49436004,2
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.255631004,id.418634005,1.7
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.59282003,id.22298006,1.7
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.57406009,id.396275006,2
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.69896004,id.200936003,2
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.13200003,id.57190000,2
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.39772007,id.15825003,2
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.399989005,id.244568009,1.7
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.128863005,id.363429002,1.3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.32498003,id.19063003,1.3
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.35489007,id.128045006,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.70179006,id.73761001,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.24700007,id.69322001,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.55822004,id.128462008,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.87715008,id.420054005,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.73211009,id.38341003,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.74400008,id.64859006,1
MiniMayoSRS_snomed_ct_Physicians,MiniMayoSRS_Physicians,id.11381005,id.61968008,1
