base,avaliacao,c1,c2,res_in
SNOMED_CT,UMNSRS_Rel,id.387222003,id.387220006,564.5
SNOMED_CT,UMNSRS_Rel,id.85898001,id.387517004,374
SNOMED_CT,UMNSRS_Rel,id.60826002,id.12962009,958
SNOMED_CT,UMNSRS_Rel,id.194828000,id.108979001,988.25
SNOMED_CT,UMNSRS_Rel,id.370992007,id.38716007,984
SNOMED_CT,UMNSRS_Rel,id.396332003,id.399317006,636.5
SNOMED_CT,UMNSRS_Rel,id.37732008,id.5090003,451
SNOMED_CT,UMNSRS_Rel,id.422587007,id.16932000,1080.5
SNOMED_CT,UMNSRS_Rel,id.91175000,id.419442005,984.5
SNOMED_CT,UMNSRS_Rel,id.60752001,id.105649009,941.25
SNOMED_CT,UMNSRS_Rel,id.29738008,id.73211009,1065.75
SNOMED_CT,UMNSRS_Rel,id.67866001,id.10712001,921
SNOMED_CT,UMNSRS_Rel,id.78104003,id.317317009,990.5
SNOMED_CT,UMNSRS_Rel,id.193570009,id.246545002,267.75
SNOMED_CT,UMNSRS_Rel,id.73211009,id.9014002,723
SNOMED_CT,UMNSRS_Rel,id.400990009,id.398979000,871.25
SNOMED_CT,UMNSRS_Rel,id.289159000,id.387475002,846.25
SNOMED_CT,UMNSRS_Rel,id.84326006,id.44564008,379.75
SNOMED_CT,UMNSRS_Rel,id.9014002,id.70784009,364
SNOMED_CT,UMNSRS_Rel,id.9014002,id.3723001,921
SNOMED_CT,UMNSRS_Rel,id.372756006,id.65183007,1085
SNOMED_CT,UMNSRS_Rel,id.271737000,id.26736008,1120
SNOMED_CT,UMNSRS_Rel,id.45170000,id.70784009,956.5
SNOMED_CT,UMNSRS_Rel,id.18265008,id.34486009,1100.25
SNOMED_CT,UMNSRS_Rel,id.414915002,id.73211009,1090.25
SNOMED_CT,UMNSRS_Rel,id.233604007,id.19841008,1047.5
SNOMED_CT,UMNSRS_Rel,id.108556006,id.129484001,747.25
SNOMED_CT,UMNSRS_Rel,id.16331000,id.71759000,848.5
SNOMED_CT,UMNSRS_Rel,id.271737000,id.46049004,999.25
SNOMED_CT,UMNSRS_Rel,id.91175000,id.387222003,1043.75
SNOMED_CT,UMNSRS_Rel,id.370992007,id.346441008,1091.25
SNOMED_CT,UMNSRS_Rel,id.90935002,id.6686005,647.75
SNOMED_CT,UMNSRS_Rel,id.71759000,id.373529000,868
SNOMED_CT,UMNSRS_Rel,id.40593004,id.194828000,934.75
SNOMED_CT,UMNSRS_Rel,id.372780005,id.19841008,981.25
SNOMED_CT,UMNSRS_Rel,id.73211009,id.67866001,1131.25
SNOMED_CT,UMNSRS_Rel,id.398979000,id.387458008,753.75
SNOMED_CT,UMNSRS_Rel,id.16001004,id.89934007,187.75
SNOMED_CT,UMNSRS_Rel,id.23513009,id.33688009,459.25
SNOMED_CT,UMNSRS_Rel,id.85898001,id.387272001,266.5
SNOMED_CT,UMNSRS_Rel,id.13791008,id.13791008,980.75
SNOMED_CT,UMNSRS_Rel,id.372726002,id.372767007,583
SNOMED_CT,UMNSRS_Rel,id.370992007,id.72824008,942.75
SNOMED_CT,UMNSRS_Rel,id.14168008,id.11381005,335
SNOMED_CT,UMNSRS_Rel,id.53041004,id.387212009,1063.75
SNOMED_CT,UMNSRS_Rel,id.387494007,id.372890007,931.5
SNOMED_CT,UMNSRS_Rel,id.372756006,id.387458008,992
SNOMED_CT,UMNSRS_Rel,id.372735009,id.26124005,646.75
SNOMED_CT,UMNSRS_Rel,id.370569000,id.372777009,1023.25
SNOMED_CT,UMNSRS_Rel,id.17182001,id.419188005,914
