base,avaliacao,c1,c2,res_in
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.387222003,id.387220006,797.5
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.85898001,id.387517004,417.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.60826002,id.12962009,1273
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.111157006,id.387381009,1111.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.194828000,id.108979001,1294.75
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.370992007,id.38716007,1303.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.396332003,id.399317006,833.5
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.108418007,id.47937008,990
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.563001,id.48340000,616.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.371597004,id.108759002,708.75
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.372729009,id.387557001,860.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.67866001,id.326053005,990.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.37732008,id.5090003,669
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.422587007,id.16932000,1456.75
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.36815008,id.91098006,704.75
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.91175000,id.419442005,1306.25
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.60752001,id.105649009,1277
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.29738008,id.73211009,1439.5
UMNSRS_RELATEDNESS_SNOMED_CT,UMNSRS_RELATEDNESS,id.25374005,id.21701005,776
