base,avaliacao,c1,c2,res_in
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.23986001,id.40593004,279
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.387222003,id.387220006,370.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.85898001,id.387517004,241
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.23513009,id.34486009,142.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.18530007,id.422587007,870.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.60826002,id.12962009,981.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.194828000,id.108979001,673.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.108418007,id.47937008,294.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.91175000,id.67866001,332.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.563001,id.48340000,365.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.18530007,id.419442005,465
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.16001004,id.25289003,760.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.58750007,id.72824008,255.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.372729009,id.387557001,1052
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.422587007,id.16932000,1039.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.36815008,id.91098006,334.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.91175000,id.419442005,835.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.60752001,id.105649009,1239.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.29738008,id.73211009,1047
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.25374005,id.21701005,391
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.8900005,id.55350005,519.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.407730002,id.108605008,1118.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.36815008,id.63718003,383
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.67866001,id.10712001,448.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.193570009,id.56018004,217.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.387286002,id.108507005,663.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.73211009,id.9014002,412
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.400990009,id.398979000,1180.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.289159000,id.387475002,935.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.84326006,id.44564008,284.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.28442001,id.91098006,189.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.9014002,id.70784009,222.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.15160007,id.62718007,543
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.371632003,id.128241005,565
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.193462001,id.24199005,882.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.386033004,id.109081006,487.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.9014002,id.3723001,1148.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.373576009,id.367004,631.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.414915002,id.73211009,1142.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.371039008,id.6686005,852
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.233604007,id.19841008,867.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.108556006,id.129484001,716.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.193570009,id.109081006,272.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.420054005,id.10632007,523
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.91175000,id.387222003,798
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.193570009,id.67866001,391
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.271737000,id.46049004,897
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.91175000,id.387222003,844
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.64859006,id.52388000,755
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.91175000,id.387220006,1001.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.411618001,id.346441008,933.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.370992007,id.346441008,921.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.40593004,id.194828000,725.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.372780005,id.19841008,1154.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.15188001,id.20262006,582.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.764146007,id.81088002,1078.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.73211009,id.67866001,1155.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.399144008,id.44169009,382
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.52674009,id.43548008,398
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.398979000,id.387458008,406.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.16001004,id.89934007,367.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.23513009,id.33688009,475.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.370992007,id.72824008,889.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.14168008,id.11381005,256.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.58750007,id.19471005,816.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.91098006,id.33350003,239
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.53041004,id.387212009,743
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.387494007,id.372890007,578.5
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.372756006,id.387458008,1019.75
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.372735009,id.26124005,829.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.62005008,id.7180009,791.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.398979000,id.372756006,638.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.432119003,id.64859006,231.25
UMNSRS_similarity_snomed_ct,UMNSRS_similarity,id.52674009,id.372826007,823.75
