c1|c2|res_in|res_calc
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Diagnosis|0|1.0
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.bioassay|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.hartree-fock_method|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.heavy_atom_count|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.AlogP_descriptor|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Inhibitor|0|0.5
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.bond_count|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Highest_Occupied_Molecular_Orbital_Energy|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.atomic_QSAR_descriptor|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.polar_surface_area_descriptor|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.alcohol|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Abs.máx(eV)|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.pIC50|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.molar_refractivity|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.internal_validation|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Genetic_Algorithm|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Quantum_Chemistry_Computational_Method|0|0.5
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.FreeE|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.ZeroE|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.y_scrambling|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.plane_polarized_light_method|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.cycle_count|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Functional_Group_Descriptor|0|0.5
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.pKi|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.non-linear_dimensional_QSAR|0|0.2
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.IC50|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.partition_coefficient|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Lowest_Unoccupied_Molecular_Orbital_Energy|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Metabolism|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Moreau-Broto_autocorrelation(polarizability)_descriptors|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.carboxylic_acid|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.split_validation|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.atom_count|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.acidic_group_count|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.rotatable_bond_count|0|0.25
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Minimum_E-States_for_(strong)_Hydrogen_Bond_donors|0|0.25
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.phenols|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Toxicity|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.hydrocarbon|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Assay_method|0|0.5
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.hydrogen_bond_acceptors_count|0|0.3333
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.hydrogen_bond_acceptors_count(using_Lipinski’s_definition)|0|0.25
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.QSAR_descriptor|0|0.25
OntoQSAR2_v1.Diagnosis|OntoQSAR2_v1.Moreau-Broto_autocorrelation(mass)_descriptors|0|0.3333
